,Name,Games Played,Minutes Played,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,Plus/Minus,VORP
0,Théo Maledon,65,1778,8.2,.489,1.4,11.0,6.2,18.8,1.5,0.5,17.3,19.4,-1.9,1.1,-4.0,-1.0,-5.0,-1.3
1,Darius Bazley,55,1714,9.7,.491,3.1,21.2,12.0,8.9,0.8,1.3,13.7,22.1,-2.3,1.4,-3.1,-1.3,-4.4,-1.0
2,Luguentz Dort,52,1543,10.1,.513,2.5,10.3,6.4,8.8,1.4,1.1,10.0,21.7,-0.6,1.0,-2.6,-0.9,-3.5,-0.6
3,Kenrich Williams,66,1426,14.0,.599,6.1,14.0,10.0,16.4,1.8,1.1,14.8,15.3,1.6,1.2,-1.2,0.5,-0.7,0.4
4,Isaiah Roby,61,1425,11.9,.555,6.4,18.6,12.4,11.4,1.7,2.3,19.0,17.7,-0.3,1.5,-3.7,0.4,-3.3,-0.5
5,Shai Gilgeous-Alexander,35,1180,21.6,.623,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,2.7,0.8,3.9,0.2,4.1,1.8
6,Aleksej Pokusevski,45,1090,6.1,.430,2.8,17.6,10.1,13.1,0.9,3.4,18.8,20.5,-2.9,1.0,-5.1,-1.0,-6.1,-1.1
7,Moses Brown,43,920,18.8,.572,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,1.3,1.3,-1.3,-1.2,-2.4,-0.1
8,Ty Jerome,33,788,13.4,.585,1.3,10.8,6.0,23.7,1.2,0.7,13.5,18.8,0.9,0.4,0.1,-0.8,-0.7,0.3
9,Al Horford,28,782,17.4,.538,3.8,21.4,12.5,20.1,1.5,2.9,7.3,21.6,0.8,0.9,2.0,1.4,3.4,1.1
10,Hamidou Diallo,32,761,15.0,.536,5.0,17.7,11.3,16.4,1.9,1.4,12.1,22.5,0.3,0.8,-2.1,0.6,-1.5,0.1
11,Svi Mykhailiuk,30,690,10.6,.531,1.9,11.6,6.7,12.3,1.7,0.8,14.4,21.0,-0.5,0.5,-2.2,-1.1,-3.3,-0.2
12,Mike Muscala,35,645,14.7,.599,3.0,18.4,10.6,7.0,0.6,1.5,6.9,20.0,0.9,0.4,0.9,-1.0,-0.1,0.3
13,Justin Jackson,33,544,10.7,.519,2.6,11.0,6.8,14.5,1.3,0.3,12.0,20.2,-0.1,0.3,-2.3,-1.0,-3.2,-0.2
14,Tony Bradley,22,397,20.4,.676,11.9,23.6,17.7,8.3,1.1,3.8,16.0,18.0,0.8,0.5,0.4,-0.5,-0.2,0.2
15,George Hill,14,369,15.9,.630,2.2,6.0,4.1,18.2,1.5,0.5,8.4,16.5,0.8,0.2,0.9,0.1,1.0,0.3
16,Josh Hall,21,336,1.0,.363,1.8,16.6,9.1,11.6,0.6,0.3,17.4,18.1,-1.1,0.2,-9.7,-2.2,-11.9,-0.8
17,Jaylen Hoard,19,320,13.4,.547,6.7,14.5,10.6,11.2,1.9,1.4,13.8,16.3,0.2,0.3,-2.2,-0.3,-2.5,0.0
18,Gabriel Deck,10,212,16.1,.548,7.8,11.9,9.8,17.3,1.8,0.0,7.3,16.6,0.4,0.1,0.0,-0.4,-0.4,0.1
19,Darius Miller,18,197,15.9,.685,1.0,11.8,6.3,15.4,3.1,2.3,13.1,13.2,0.4,0.2,0.8,2.7,3.6,0.3
20,Charlie Brown Jr.,9,152,4.1,.422,2.0,9.7,5.8,8.2,1.3,1.2,11.2,14.9,-0.2,0.1,-7.4,-1.3,-8.7,-0.3
21,Justin Robinson,9,88,6.0,.453,1.2,7.2,4.1,14.1,1.6,0.0,7.9,12.2,0.0,0.0,-5.8,-1.0,-6.8,-0.1
