,Name,Games Played,Minutes Played,FG%,3PT%,2PT%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,Points
0,Shai Gilgeous-Alexander,35,33.7,.508,.418,.547,.571,.808,0.5,4.2,4.7,5.9,0.8,0.7,3.0,23.7
1,Darius Bazley,55,31.2,.396,.290,.470,.456,.702,0.9,6.3,7.2,1.8,0.5,0.5,2.2,13.7
2,Luguentz Dort,52,29.7,.387,.343,.432,.475,.744,0.7,2.9,3.6,1.7,0.9,0.4,1.5,14.0
3,Al Horford,28,27.9,.450,.368,.510,.528,.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,14.2
4,Théo Maledon,65,27.4,.368,.335,.402,.454,.748,0.4,2.9,3.2,3.5,0.9,0.2,2.2,10.1
5,George Hill,14,26.4,.508,.386,.619,.600,.840,0.6,1.5,2.1,3.1,0.9,0.1,0.9,11.8
6,Aleksej Pokusevski,45,24.2,.341,.280,.403,.412,.738,0.7,4.0,4.7,2.2,0.4,0.9,2.2,8.2
7,Ty Jerome,33,23.9,.446,.423,.479,.570,.765,0.3,2.5,2.8,3.6,0.6,0.2,1.4,10.7
8,Hamidou Diallo,32,23.8,.481,.293,.512,.502,.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,11.9
9,Isaiah Roby,61,23.4,.483,.294,.547,.520,.744,1.5,4.1,5.6,1.8,0.9,0.6,1.9,8.7
10,Svi Mykhailiuk,30,23.0,.438,.336,.543,.523,.700,0.4,2.5,3.0,1.8,0.8,0.2,1.6,10.3
11,Kenrich Williams,66,21.6,.533,.444,.568,.596,.571,1.3,2.9,4.1,2.3,0.8,0.3,1.2,8.0
12,Moses Brown,43,21.4,.545,,.545,.545,.619,3.6,5.3,8.9,0.2,0.7,1.1,1.0,8.6
13,Gabriel Deck,10,21.2,.478,.133,.577,.493,.818,1.6,2.4,4.0,2.4,0.8,0.0,0.6,8.4
14,Mike Muscala,35,18.4,.446,.370,.614,.573,.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,9.7
15,Tony Bradley,22,18.0,.656,.000,.667,.656,.705,2.1,4.0,6.1,0.9,0.4,0.8,1.2,8.7
16,Charlie Brown Jr.,9,16.9,.302,.238,.364,.360,.900,0.3,1.6,1.9,1.0,0.4,0.2,0.7,4.4
17,Jaylen Hoard,19,16.8,.500,.000,.571,.500,.683,1.1,2.3,3.4,1.3,0.7,0.3,0.9,6.1
18,Justin Jackson,33,16.5,.406,.306,.515,.486,.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,7.2
19,Josh Hall,21,16.0,.303,.108,.419,.323,.500,0.3,2.5,2.8,1.3,0.2,0.0,1.2,4.1
20,Darius Miller,18,10.9,.458,.405,.833,.635,1.000,0.1,1.2,1.3,1.2,0.7,0.3,0.4,4.1
21,Justin Robinson,9,9.8,.333,.286,.429,.429,.600,0.1,0.7,0.8,1.0,0.3,0.0,0.2,2.3
